,MLII_filtered
89,-1.5576221568659113e+34
90,-1.5645940289488347e+34
91,-1.57146978361747e+34
92,-1.5782470654501874e+34
93,-1.5849242068556034e+34
94,-1.5915000620114142e+34
95,-1.5979737081587265e+34
96,-1.6043441776945165e+34
97,-1.6106103096186954e+34
98,-1.6167707298170842e+34
99,-1.6228239176741017e+34
100,-1.628768300607554e+34
101,-1.6346023302815363e+34
102,-1.64032451904497e+34
103,-1.645933438372273e+34
104,-1.6514276946437364e+34
105,-1.6568059001574244e+34
106,-1.662066652119371e+34
107,-1.667208524427566e+34
108,-1.6722300704016535e+34
109,-1.677129831222009e+34
110,-1.6819063447302435e+34
111,-1.6865581511803345e+34
112,-1.6910837949950856e+34
113,-1.6954818234471763e+34
114,-1.699750783981347e+34
115,-1.703889221738874e+34
116,-1.7078956781648756e+34
117,-1.7117686908319198e+34
118,-1.715506794105782e+34
119,-1.7191085201086091e+34
120,-1.7225723995345385e+34
121,-1.7258969621007996e+34
122,-1.7290807366383224e+34
123,-1.7321222509597287e+34
124,-1.7350200316728415e+34
125,-1.7377726040633452e+34
126,-1.740378492096609e+34
127,-1.742836218524835e+34
128,-1.7451443050517722e+34
129,-1.7473012725043635e+34
130,-1.7493056409779332e+34
131,-1.7511559299445833e+34
132,-1.7528506583324819e+34
133,-1.7543883445918647e+34
134,-1.755767506762635e+34
135,-1.756986662552285e+34
136,-1.758044329425821e+34
137,-1.7589390247044158e+34
138,-1.759669265667708e+34
139,-1.7602335696554635e+34
140,-1.76063045416641e+34
141,-1.7608584369541617e+34
142,-1.7609160361214764e+34
143,-1.7608017702144367e+34
144,-1.760514158317765e+34
145,-1.7600517201517657e+34
146,-1.7594129761707567e+34
147,-1.7585964476625095e+34
148,-1.757600656848185e+34
149,-1.7564241269824467e+34
150,-1.7550653824537011e+34
151,-1.7535229488846275e+34
152,-1.751795353233249e+34
153,-1.7498811238947425e+34
154,-1.7477787908040071e+34
155,-1.7454868855387917e+34
156,-1.743003941422999e+34
157,-1.7403284936297698e+34
158,-1.737459079284172e+34
159,-1.734394237565775e+34
160,-1.7311325098119053e+34
161,-1.7276724396227428e+34
162,-1.724012572969282e+34
163,-1.7201514583043266e+34
164,-1.7160876466751976e+34
165,-1.7118196918351787e+34
166,-1.7073461503498928e+34
167,-1.702665581695769e+34
168,-1.6977765483510604e+34
169,-1.6926776158849678e+34
170,-1.687367353055343e+34
171,-1.6818443319270708e+34
172,-1.6761071280184572e+34
173,-1.670154320470662e+34
174,-1.663984492218198e+34
175,-1.657596230124191e+34
176,-1.6509881250429407e+34
177,-1.6441587717933364e+34
178,-1.6371067690710752e+34
179,-1.62983071938299e+34
180,-1.62232922912618e+34
181,-1.6146009089238297e+34
182,-1.606644374243433e+34
183,-1.5984582461666916e+34
184,-1.5900411520049775e+34
185,-1.5813917253553268e+34
186,-1.5725086052783898e+34
187,-1.5633904346159867e+34
188,-1.5540358580040554e+34
189,-1.5444435206751092e+34
190,-1.5346120693533595e+34
191,-1.5245401560890714e+34
192,-1.5142264446149141e+34
193,-1.5036696169991061e+34
194,-1.49286837678068e+34
195,-1.4818214445126604e+34
196,-1.4705275437097073e+34
197,-1.4589853798043624e+34
198,-1.4471936206444602e+34
199,-1.4351508915194235e+34
200,-1.4228557970251668e+34
201,-1.4103069734334958e+34
202,-1.397503158874513e+34
203,-1.3844432497042813e+34
204,-1.3711262998772738e+34
205,-1.357551427718942e+34
206,-1.3437176286624587e+34
207,-1.329623549180457e+34
208,-1.3152673358468591e+34
209,-1.300646699551977e+34
210,-1.2857592917565264e+34
211,-1.2706033599190285e+34
212,-1.2551784575076497e+34
213,-1.2394858084876693e+34
214,-1.2235278845770144e+34
215,-1.2073069560873882e+34
216,-1.1908228542771276e+34
217,-1.1740708164469072e+34
218,-1.1570407855847658e+34
219,-1.1397195137466422e+34
220,-1.1220959553614819e+34
221,-1.1041687299479005e+34
222,-1.085952394462915e+34
223,-1.0674779318353685e+34
224,-1.0487834971704774e+34
225,-1.029894923451881e+34
226,-1.0108014433197317e+34
227,-9.914384650021819e+33
228,-9.71692411544998e+33
229,-9.514386203137439e+33
230,-9.30610015965278e+33
231,-9.092739816938631e+33
232,-8.876755505352467e+33
233,-8.661991627091606e+33
234,-8.452208791973353e+33
235,-8.248722256588098e+33
236,-8.04804343993636e+33
237,-7.840970475046992e+33
238,-7.614601351020874e+33
239,-7.357885852431646e+33
240,-7.069555129498264e+33
241,-6.765076343871952e+33
242,-6.477754048131046e+33
243,-6.24959505222963e+33
244,-6.111045551888102e+33
245,-6.054958577860726e+33
246,-6.017080746030999e+33
247,-5.879161639638166e+33
248,-5.507208921366989e+33
249,-4.8240060388906195e+33
250,-3.8938619580190007e+33
251,-2.976861892962233e+33
252,-2.502749422418235e+33
253,-2.934007160496406e+33
254,-4.5382612163211184e+33
255,-7.158950102061039e+33
256,-1.0125152541181356e+34
257,-1.242331778028143e+34
258,-1.3122516159993683e+34
259,-1.1843647274295524e+34
260,-8.965818357840744e+33
261,-5.419957589860155e+33
262,-2.219599211539946e+33
263,-3.5630173073797075e+31
264,9.754360514864579e+32
265,1.081274169614986e+33
266,7.44395179004997e+32
267,3.945290749357509e+32
268,2.9169513524616863e+32
269,5.000995605304756e+32
270,9.424366875625247e+32
271,1.4847165761983753e+33
272,2.0088552423069213e+33
273,2.450944072296185e+33
274,2.804266266198161e+33
275,3.0995738730691243e+33
276,3.378787974693571e+33
277,3.674542492736036e+33
278,4.001096431729902e+33
279,4.355845646041507e+33
280,4.7270270530075385e+33
281,5.102490462043986e+33
282,5.475727169038327e+33
283,5.847470784584235e+33
284,6.223177041952242e+33
285,6.608084938887544e+33
286,7.002272298981553e+33
287,7.398172735332317e+33
288,7.782379409655408e+33
289,8.142134900023851e+33
290,8.474769941668812e+33
291,8.796016345458135e+33
292,9.141638548088261e+33
293,9.557561409666912e+33
294,1.0077609036014754e+34
295,1.0694830149770012e+34
296,1.1339923159825497e+34
297,1.1884367585286395e+34
298,1.2181850055206228e+34
299,1.2146752111423148e+34
300,1.184504937445264e+34
301,1.1549825655511642e+34
302,1.1705057830791318e+34
303,1.276184530287573e+34
304,1.4906676711224027e+34
305,1.77798076742242e+34
306,2.0349915505179195e+34
307,2.112064031668594e+34
308,1.8752527332911204e+34
309,1.2982393393637896e+34
310,5.465401367932458e+33
311,-2.461919313394654e+31
312,1.4347553165150874e+33
313,1.3627634613306643e+34
314,3.616338573725997e+34
315,6.207613302384355e+34
316,7.793331915419329e+34
317,6.797600456835865e+34
318,2.230905666794203e+34
319,-5.330896551258577e+34
320,-1.3105907012369263e+35
321,-1.6411250280121084e+35
322,-1.0329230667830952e+35
323,7.414667616515273e+34
324,3.333548014676439e+35
325,5.6547292658113626e+35
326,6.0453860507913e+35
327,2.8711535914926238e+35
328,-4.5669682545316095e+35
329,-1.518614834151173e+36
330,-2.5896434449502887e+36
331,-3.2452818520270513e+36
332,-3.13124441967384e+36
333,-2.1633995357471747e+36
334,-6.132078779370487e+35
335,9.963922321494823e+35
336,2.1353347040275113e+36
337,2.5066679342417152e+36
338,2.1471142073154468e+36
339,1.351485506053481e+36
340,4.938458056857629e+35
341,-1.4043621198624182e+35
342,-4.360976327562729e+35
343,-4.347035305322595e+35
344,-2.6449971648186805e+35
345,-6.171464693848277e+34
346,8.2469086749865645e+34
347,1.378056517993272e+35
348,1.213794109561527e+35
349,7.125107710174796e+34
350,2.284853887579317e+34
351,-3.77241867161784e+33
352,-5.418851274984602e+33
353,9.848904126864853e+33
354,3.0358356535200677e+34
355,4.678216305237571e+34
356,5.483561036578841e+34
357,5.49878826634779e+34
358,5.047261931550244e+34
359,4.501666627080644e+34
360,4.125617455171988e+34
361,4.01720603337049e+34
362,4.136365342068313e+34
363,4.3734038453142695e+34
364,4.61708962892081e+34
365,4.7969367646959795e+34
366,4.893833629636124e+34
367,4.927293224247574e+34
368,4.933163699295946e+34
369,4.943852848160728e+34
370,4.977507167480311e+34
371,5.036732712154166e+34
372,5.113639503136587e+34
373,5.196867193697079e+34
374,5.27718953088295e+34
375,5.35014666295847e+34
376,5.415869944753955e+34
377,5.477252908437526e+34
378,5.537795187611457e+34
379,5.600054666515178e+34
380,5.665052602231297e+34
381,5.732485503586049e+34
382,5.801351676849637e+34
383,5.870596790522787e+34
384,5.939529001077337e+34
385,6.007937266822819e+34
386,6.07598350289321e+34
387,6.1439966607799485e+34
388,6.212283959260456e+34
389,6.281023408925593e+34
390,6.350246430809709e+34
391,6.419882173803629e+34
392,6.489823002170387e+34
393,6.55997839138146e+34
394,6.630301513276182e+34
395,6.700789124542751e+34
396,6.771465145882781e+34
397,6.842360409921077e+34
398,6.913497657137286e+34
399,6.9848853726680075e+34
400,7.056519349182536e+34
401,7.128388395752732e+34
402,7.200480445239526e+34
403,7.272786615500789e+34
404,7.345302494416387e+34
405,7.418027242691227e+34
406,7.490961696562376e+34
407,7.5641065694777e+34
408,7.637461388791571e+34
409,7.711024281414739e+34
410,7.7847923598470865e+34
411,7.858762331203647e+34
412,7.932931014461289e+34
413,8.007295607539494e+34
414,8.081853701005708e+34
415,8.156603131448607e+34
416,8.2315417916397745e+34
417,8.306667485451632e+34
418,8.381977864672417e+34
419,8.457470439799844e+34
420,8.533142632238148e+34
421,8.608991832380812e+34
422,8.685015439511105e+34
423,8.761210875446993e+34
424,8.837575576701988e+34
425,8.91410697612581e+34
426,8.990802484866505e+34
427,9.067659481565393e+34
428,9.144675310801266e+34
429,9.221847288912884e+34
430,9.299172713210588e+34
431,9.376648870116978e+34
432,9.454273038525037e+34
433,9.53204248632061e+34
434,9.609954460452653e+34
435,9.688006173911022e+34
436,9.76619479576094e+34
437,9.844517451626307e+34
438,9.922971240086833e+34
439,1.0001553264388212e+35
440,1.0080260669508075e+35
441,1.0159090665401126e+35
442,1.023804051377696e+35
443,1.0317107463792338e+35
444,1.0396288643981862e+35
445,1.0475580949054069e+35
446,1.0554980987662508e+35
447,1.0634485161708634e+35
448,1.0714089911845561e+35
449,1.0793792084060922e+35
450,1.0873589269575383e+35
451,1.0953479893169516e+35
452,1.1033462836805238e+35
453,1.1113536535078789e+35
454,1.1193697762259715e+35
455,1.1273940658532938e+35
456,1.1354256743080419e+35
457,1.1434636530463476e+35
458,1.151507277515965e+35
459,1.1595564387969708e+35
460,1.167611905159954e+35
461,1.175675211103646e+35
462,1.1837480061239707e+35
463,1.1918309201204043e+35
464,1.1999223342983773e+35
465,1.208017750322918e+35
466,1.2161105225009848e+35
467,1.2241943671119803e+35
468,1.2322672369309068e+35
469,1.2403350524756409e+35
470,1.2484129148109366e+35
471,1.2565214639153763e+35
472,1.2646775408329306e+35
473,1.2728812668453296e+35
474,1.281105183713231e+35
475,1.2892934081494228e+35
476,1.2973776543273468e+35
477,1.3053109869215605e+35
478,1.31310985703079e+35
479,1.320883924355565e+35
480,1.3288276786619251e+35
481,1.3371548204129943e+35
482,1.3459793602554283e+35
483,1.3551825245660597e+35
484,1.3643379752955696e+35
485,1.3727780245290695e+35
486,1.3798495097884847e+35
487,1.3853226643454425e+35
488,1.389799446091967e+35
489,1.3948709833168723e+35
490,1.4027690290230974e+35
491,1.4154047513948044e+35
492,1.4329958968346248e+35
493,1.4528627453196767e+35
494,1.4692374308193307e+35
495,1.4748454867149198e+35
496,1.4644139142738777e+35
497,1.4391781501589086e+35
498,1.4102603723973152e+35
499,1.3981312077695831e+35
500,1.4259867327522494e+35
501,1.5071936453429001e+35
502,1.6306166943342557e+35
503,1.7512262918116573e+35
504,1.7946201457810413e+35
505,1.6807277298731798e+35
506,1.3632134151482835e+35
507,8.691802108627565e+34
508,3.147813610315018e+34
509,-1.245106263865171e+34
510,-2.875264981887336e+34
511,-1.0863340898531452e+34
512,3.465345923035722e+34
513,9.168068294445634e+34
514,1.4267092008833053e+35
515,1.7600871354597927e+35
516,1.8898372591559413e+35
517,1.8622963709402287e+35
518,1.7575376391842418e+35
519,1.649966379178799e+35
520,1.5846134971146187e+35
521,1.5726114591040802e+35
522,1.6005852749932465e+35
523,1.645326170827905e+35
524,1.686350940231449e+35
525,1.712532276714486e+35
526,1.722644485956577e+35
527,1.721988187621301e+35
528,1.717877305625514e+35
529,1.7161138815128656e+35
530,1.7193818134722642e+35
531,1.727415557856536e+35
532,1.738200134971205e+35
533,1.749371707749177e+35
534,1.7592414594743214e+35
535,1.767225485277488e+35
536,1.7737493789671397e+35
537,1.779832326903214e+35
538,1.7865612988731712e+35
539,1.7946103485035995e+35
540,1.8039089589675212e+35
541,1.813543233549163e+35
542,1.821963532958129e+35
543,1.827523818033934e+35
544,1.8292553947378427e+35
545,1.8275981815218863e+35
546,1.8246704258891826e+35
547,1.823714580936089e+35
548,1.827751526560137e+35
549,1.8380862607296302e+35
550,1.8536093891166815e+35
551,1.8713704140252076e+35
552,1.8879946653470724e+35
553,1.9010406360625645e+35
554,1.909676208188611e+35
555,1.914625025486956e+35
556,1.9176748260510605e+35
557,1.9210450994001695e+35
558,1.9267533122525697e+35
559,1.9359931142431705e+35
560,1.9485530536826776e+35
561,1.9624488468807306e+35
562,1.9740980237846967e+35
563,1.979365994027719e+35
564,1.9755308206656906e+35
565,1.963658149994437e+35
566,1.9502487338137625e+35
567,1.946691075239594e+35
568,1.9654326082349503e+35
569,2.013095722707649e+35
570,2.082788994256434e+35
571,2.1497986175682895e+35
572,2.1754393876748136e+35
573,2.121881468628014e+35
574,1.975831996941932e+35
575,1.7721831271994652e+35
576,1.6031296253852897e+35
577,1.5979798773101946e+35
578,1.8674790136867483e+35
579,2.4242851554430356e+35
580,3.1132165512978013e+35
581,3.600192189741829e+35
582,3.463828750323101e+35
583,2.3986416098288913e+35
584,4.761271915478753e+34
585,-1.6595089468550008e+35
586,-2.8224790199115376e+35
587,-1.6690070701399806e+35
588,2.575431278739986e+35
589,9.26612557976089e+35
590,1.579492557634012e+36
591,1.7851969335101552e+36
592,1.0798625360191828e+36
593,-8.050066597783943e+35
594,-3.712531098930561e+36
595,-6.969978503825622e+36
596,-9.56092238678549e+36
597,-1.0551648623397011e+37
598,-9.561670985655711e+36
599,-6.970721521810057e+36
600,-3.711894496134162e+36
601,-8.013392086493196e+35
602,1.087875893531726e+36
603,1.7977253931345634e+36
604,1.594850618423231e+36
605,9.411392791917473e+35
606,2.665528494967785e+35
607,-1.6693630470306758e+35
608,-2.9076350280626343e+35
609,-1.7581406874706225e+35
610,5.045842819340006e+34
611,2.7331728785129533e+35
612,4.256970991487138e+35
613,4.900526078126525e+35
614,4.814715427445539e+35
615,4.280381270452318e+35
616,3.5759432519665165e+35
617,2.91640554753289e+35
618,2.432325748971804e+35
619,2.1678080308608476e+35
620,2.095361628358417e+35
621,2.145802916946118e+35
622,2.2426143056086278e+35
623,2.328050118731913e+35
624,2.374225218096694e+35
625,2.3801777043201474e+35
626,2.360842914300089e+35
627,2.3348167625098708e+35
628,2.315761821298181e+35
629,2.309179750151619e+35
630,2.3136354134936898e+35
631,2.3241864654052643e+35
632,2.335778328653628e+35
633,2.34524417210157e+35
634,2.3516705505241802e+35
635,2.3556962947044318e+35
636,2.358529930245273e+35
637,2.3612179454607595e+35
638,2.364323424299761e+35
639,2.3679350358928787e+35
640,2.3718488624362642e+35
641,2.3757801400106066e+35
642,2.3795145324815534e+35
643,2.3829682940403284e+35
644,2.386172500022553e+35
645,2.389218366548917e+35
646,2.3922002472731595e+35
647,2.3951791226936235e+35
648,2.398172594814745e+35
649,2.4011649824928354e+35
650,2.404125985232421e+35
651,2.4070276078153433e+35
652,2.4098536731619554e+35
653,2.4126012253858287e+35
654,2.4152764367094666e+35
655,2.417888680951097e+35
656,2.4204457052662677e+35
657,2.4229512844664373e+35
658,2.4254052751608066e+35
659,2.4278051192881645e+35
660,2.4301476714881908e+35
661,2.432430539537324e+35
662,2.4346526238841497e+35
663,2.4368139643310204e+35
664,2.4389152198599486e+35
665,2.4409571188404516e+35
666,2.4429400972763214e+35
667,2.4448641878860855e+35
668,2.446729104413991e+35
669,2.4485344139032218e+35
670,2.450279698244906e+35
671,2.4519646485802737e+35
672,2.4535890831780282e+35
673,2.4551529117404985e+35
674,2.456656080288041e+35
675,2.4580985248231252e+35
676,2.459480147756793e+35
677,2.460800817126305e+35
678,2.4620603800724074e+35
679,2.4632586799973378e+35
680,2.464395569535655e+35
681,2.4654709160823188e+35
682,2.4664846006748033e+35
683,2.4674365132200353e+35
684,2.4683265472903913e+35
685,2.4691545966518256e+35
686,2.4699205542178326e+35
687,2.470624312937999e+35
688,2.471265767551737e+35
689,2.4718448161512032e+35
690,2.47236136089381e+35
691,2.4728153077337045e+35
692,2.473206565505842e+35
693,2.4735350449765428e+35
694,2.473800658511264e+35
695,2.4740033207841384e+35
696,2.474142950490685e+35
697,2.4742194724294796e+35
698,2.4742328188021296e+35
699,2.4741829284421087e+35
700,2.474069743204313e+35
701,2.4738932020172856e+35
702,2.4736532348282368e+35
703,2.4733497601115296e+35
704,2.472982689719693e+35
705,2.4725519427336722e+35
706,2.4720574655049755e+35
707,2.4714992495230845e+35
708,2.470877334790692e+35
709,2.470191787478106e+35
710,2.4694426492759908e+35
711,2.468629871560616e+35
712,2.4677532650790392e+35
713,2.4668125057845473e+35
714,2.4658072287782257e+35
715,2.464737208585585e+35
716,2.463602570016605e+35
717,2.462403919858615e+35
718,2.4611422686837374e+35
719,2.459818657852805e+35
720,2.4584335335683124e+35
721,2.456986091183213e+35
722,2.4554739724084394e+35
723,2.4538937240945038e+35
724,2.452242219546942e+35
725,2.4505187811549024e+35
726,2.448727148443119e+35
727,2.446875988770352e+35
728,2.4449767159101764e+35
729,2.4430382488027763e+35
730,2.4410599835498468e+35
731,2.4390261511850478e+35
732,2.4369058925765684e+35
733,2.4346626218867155e+35
734,2.432272822593534e+35
735,2.429748735928577e+35
736,2.42715351307652e+35
737,2.424594785667836e+35
738,2.42218693620117e+35
739,2.4199853651896602e+35
740,2.4179152832726487e+35
741,2.4157351625601483e+35
742,2.413079154040937e+35
743,2.4096024627760407e+35
744,2.405205814543045e+35
745,2.4002516219068043e+35
746,2.3956342461109043e+35
747,2.3925690206643094e+35
748,2.3920512687757933e+35
749,2.3941077434165023e+35
750,2.397167473832024e+35
751,2.3980127792796447e+35
752,2.3927075201871253e+35
753,2.378552554945145e+35
754,2.356521059695346e+35
755,2.332986253828631e+35
756,2.319235994884388e+35
757,2.327671167149994e+35
758,2.3649172652472397e+35
759,2.4241136614026703e+35
760,2.480581268624744e+35
761,2.495658630488649e+35
762,2.431525869296836e+35
763,2.2748922910257676e+35
764,2.060652624478716e+35
765,1.8810085319399113e+35
766,1.8652758711803967e+35
767,2.124197718109146e+35
768,2.670410046403572e+35
769,3.348686260537818e+35
770,3.8248902947047854e+35
771,3.6776022855492156e+35
772,2.6013559747697186e+35
773,6.677466250609029e+34
774,-1.4788492297162306e+35
775,-2.6524593249776774e+35
776,-1.5092142826613022e+35
777,2.7252974939559346e+35
778,9.405984955161866e+35
779,1.5924113025800073e+36
780,1.796925981930831e+36
781,1.0902617592589379e+36
782,-7.960215636893184e+35
783,-3.704902878126595e+36
784,-6.963455101682922e+36
785,-9.555089320048405e+36
786,-1.0546081253148227e+37
787,-9.556189068522536e+36
788,-6.965654557053365e+36
789,-3.708201957238434e+36
790,-8.004201418125891e+35
791,1.0847638484250453e+36
792,1.790328946251069e+36
793,1.5847153914737254e+36
794,9.318039999468748e+35
795,2.6263700186150172e+35
796,-1.6191205373808528e+35
797,-2.7733402035398666e+35
798,-1.6107001613164172e+35
799,5.249306264668045e+34
800,2.4475803103306594e+35
801,3.51287277121505e+35
802,3.649213160745172e+35
803,3.1620681509728046e+35
804,2.4728580185378703e+35
805,1.915719242412968e+35
806,1.6458788316939468e+35
807,1.6507012271628073e+35
808,1.8194437683769713e+35
809,2.022791013477357e+35
810,2.1685417152038834e+35
811,2.2218015571051528e+35
812,2.1958616414489056e+35
813,2.128542250075617e+35
814,2.058505241801339e+35
815,2.0104301089870667e+35
816,1.9911778934673714e+35
817,1.9941235271873336e+35
818,2.0068665633021917e+35
819,2.0181195830610334e+35
820,2.0215097906035555e+35
821,2.0160644000650486e+35
822,2.004482900825377e+35
823,1.9907017484104784e+35
824,1.9779389444036184e+35
825,1.9677658419819282e+35
826,1.960156186787081e+35
827,1.9541152881639798e+35
828,1.9484285257940056e+35
829,1.942202195575688e+35
830,1.93507429690172e+35
831,1.9271441117925163e+35
832,1.918756026426173e+35
833,1.9102752989956608e+35
834,1.9019431785486316e+35
835,1.893835102863378e+35
836,1.885897683628485e+35
837,1.8780197917143297e+35
838,1.870097329561807e+35
839,1.8620692203859798e+35
840,1.8539218895094332e+35
841,1.8456730175012274e+35
842,1.8373498208195725e+35
843,1.8289740009944915e+35
844,1.820558365877139e+35
845,1.8121127316594902e+35
846,1.803651869939605e+35
847,1.79519743432003e+35
848,1.786769132451037e+35
849,1.778366812848644e+35
850,1.7699523297766966e+35
851,1.7614447831904254e+35
852,1.7527415444424173e+35
853,1.7437681827309817e+35
854,1.7345439763489077e+35
855,1.7252316665894294e+35
856,1.716130237669049e+35
857,1.707578603672283e+35
858,1.6997722149321168e+35
859,1.6925483674905752e+35
860,1.685248584689663e+35
861,1.676784578520598e+35
862,1.6659850259009373e+35
863,1.6521722237312093e+35
864,1.6357432460585595e+35
865,1.6183985314590767e+35
866,1.6027068085635902e+35
867,1.5910275580155998e+35
868,1.5843220358239666e+35
869,1.5816302710708105e+35
870,1.5805939723561683e+35
871,1.5786453803244717e+35
872,1.574084667976952e+35
873,1.566514939047533e+35
874,1.5566137379852487e+35
875,1.5455522472385578e+35
876,1.5344192164756968e+35
877,1.5238748048727896e+35
878,1.5140849270041039e+35
879,1.5048584986400054e+35
880,1.4958609059609514e+35
881,1.4867955954607585e+35
882,1.4774988022484242e+35
883,1.467946530020086e+35
884,1.458206703757799e+35
885,1.4483772371395927e+35
886,1.4385391624388798e+35
887,1.4287354777808908e+35
888,1.4189720414944276e+35
889,1.4092308608389255e+35
890,1.3994863244126288e+35
891,1.3897177892544211e+35
892,1.3799155095364864e+35
893,1.3700801668598644e+35
894,1.3602183861863966e+35
895,1.3503372546277591e+35
896,1.3404403080498954e+35
897,1.3305262991479237e+35
898,1.3205908122259348e+35
899,1.3106297316083486e+35
900,1.3006428485767296e+35
901,1.290635669174738e+35
902,1.2806180463653268e+35
903,1.2705998417213499e+35
904,1.2605859243871051e+35
905,1.2505737508759762e+35
906,1.240555136261244e+35
907,1.2305207819732166e+35
908,1.2204645110198147e+35
909,1.2103850802561451e+35
910,1.2002854166637171e+35
911,1.1901704395895147e+35
912,1.1800448430277031e+35
913,1.169911726717812e+35
914,1.15977229873458e+35
915,1.149626372341421e+35
916,1.1394731787990806e+35
917,1.1293120773700045e+35
918,1.1191429402359431e+35
919,1.1089661957653378e+35
920,1.0987826469751529e+35
921,1.0885932205629992e+35
922,1.0783987675273955e+35
923,1.0681999701021897e+35
924,1.0579973486557963e+35
925,1.04779132719254e+35
926,1.0375823101592506e+35
927,1.0273707373583769e+35
928,1.0171571048497233e+35
929,1.0069419571762033e+35
930,9.967258649364718e+34
931,9.865094017887945e+34
932,9.762931297261179e+34
933,9.660775949350404e+34
934,9.558633316862371e+34
935,9.4565086968123e+34
936,9.354407407572118e+34
937,9.252334826805173e+34
938,9.150296397305248e+34
939,9.048297610949362e+34
940,8.946343985225477e+34
941,8.844441043978195e+34
942,8.742594307923924e+34
943,8.640809294674005e+34
944,8.539091524540957e+34
945,8.437446527676565e+34
946,8.3358798493125e+34
947,8.2343970518321095e+34
948,8.133003714078924e+34
949,8.031705429186735e+34
950,7.930507802280045e+34
951,7.829416448934412e+34
952,7.7284369946746035e+34
953,7.627575075304159e+34
954,7.526836337624353e+34
955,7.426226440097795e+34
956,7.325751053154936e+34
957,7.225415859037382e+34
958,7.125226551257146e+34
959,7.02518883389494e+34
960,6.925308421044987e+34
961,6.825591036713154e+34
962,6.726042415356612e+34
963,6.626668303000854e+34
964,6.527474458524017e+34
965,6.4284666543833385e+34
966,6.329650675970076e+34
967,6.231032319111124e+34
968,6.132617386056844e+34
969,6.034411681421506e+34
970,5.936421010486914e+34
971,5.838651182351634e+34
972,5.741108019012096e+34
973,5.643797368521495e+34
974,5.546725116707987e+34
975,5.449897189328572e+34
976,5.353319537253372e+34
977,5.256998102980039e+34
978,5.160938777132578e+34
979,5.065147365205846e+34
980,4.969629591362957e+34
981,4.874391160367925e+34
982,4.779437876481196e+34
983,4.684775782528465e+34
984,4.590411246725528e+34
985,4.49635091101106e+34
986,4.402601444864256e+34
987,4.309169132233975e+34
988,4.216059438866709e+34
989,4.1232768125124073e+34
990,4.030824985649709e+34
991,3.9387079133004585e+34
992,3.846931173536837e+34
993,3.755503265915727e+34
994,3.6644359482390127e+34
995,3.5737427969641805e+34
996,3.4834357487407455e+34
997,3.3935204631947447e+34
998,3.303992600350493e+34
999,3.2148378705826707e+34
1000,3.126038213405578e+34
1001,3.03758419976839e+34
1002,2.949490001964623e+34
1003,2.8618033900766907e+34
1004,2.7746014876621066e+34
1005,2.687965875056577e+34
1006,2.60193921678497e+34
1007,2.516478278871789e+34
1008,2.431429817923258e+34
1009,2.346558575512297e+34
